title,abstract,authors,keywords,affiliations,month,link,journal_name,year,volume,issue,author_first,year_master,year_std
A comparison of some structural models of private information arrival,"We show that the PIN and the Duarte and Young (2009) (APIN) models do not match the variability of noise trade in the data and that this limitation has severe implications for how these models identify private information. We examine two alternatives to these models, the Generalized PIN model (GPIN) and the Odders-White and Ready (2008) model (OWR). Our tests indicate that measures of private information based on the OWR and GPIN models are promising alternatives to the APIN’s Adj.PIN and PIN.","['Jefferson Duarte', 'Edwin Hu', 'Lance Young']","['Liquidity','Information asymmetry']",[],March,https://www.sciencedirect.com//science/article/pii/S0304405X19301965,Journal of Financial Economics,1.2433516094596744,135,3,Jefferson Duarte,2020,169.97114190294786
Portfolio rebalancing in general equilibrium,"This paper develops an overlapping generations model of optimal rebalancing where agents differ in age and risk tolerance. Equilibrium rebalancing is driven by a leverage effect that influences levered and unlevered agents in opposite directions, an aggregate risk tolerance effect that depends on the distribution of wealth, and an intertemporal hedging effect. After a negative macroeconomic shock, relatively risk-tolerant investors sell risky assets, while more risk-averse investors buy them. Owing to interactions of leverage and changing wealth, however, all agents have higher exposure to aggregate risk after a negative macroeconomic shock and lower exposure after a positive shock.","['Miles S. Kimball', 'Matthew D. Shapiro', 'Tyler Shumway', 'Jing Zhang']","['Household finance', 'Portfolio choice', 'Heterogeneity in risk tolerance and age']",[],March,https://www.sciencedirect.com//science/article/pii/S0304405X19301989,Journal of Financial Economics,1.2433516094596744,135,3,Miles S. Kimball,2020,169.97114190294786
Shrinking the cross-section,"We construct a robust stochastic discount factor (SDF) summarizing the joint explanatory power of a large number of cross-sectional stock return predictors. Our method achieves robust out-of-sample performance in this high-dimensional setting by imposing an economically motivated prior on SDF coefficients that shrinks contributions of low-variance principal components of the candidate characteristics-based factors. We find that characteristics-sparse SDFs formed from a few such factors—e.g., the four- or five-factor models in the recent literature—cannot adequately summarize the cross-section of expected stock returns. However, an SDF formed from a small number of principal components performs well.","['Serhiy Kozak', 'Stefan Nagel', 'Shrihari Santosh']","['Factor models','SDF','Cross section','Shrinkage','Machine learning']",[],February,https://www.sciencedirect.com//science/article/pii/S0304405X19301655,Journal of Financial Economics,1.2433516094596744,135,2,Serhiy Kozak,2020,169.97114190294786
Trading and arbitrage in cryptocurrency markets,"Cryptocurrency markets exhibit periods of large, recurrent arbitrage opportunities across exchanges. These price deviations are much larger across than within countries, and smaller between cryptocurrencies, highlighting the importance of capital controls for the movement of arbitrage capital. Price deviations across countries co-move and open up in times of large bitcoin appreciation. Countries with higher bitcoin premia over the US bitcoin price see widening arbitrage deviations when bitcoin appreciates. Finally, we decompose signed volume on each exchange into a common and an idiosyncratic component. The common component explains 80% of bitcoin returns. The idiosyncratic components help explain arbitrage spreads between exchanges.","['Igor Makarov', 'Antoinette Schoar']","['Cryptocurrencies', 'Bitcoin', 'Arbitrage', 'Price impact', 'Capital controls']",[],February,https://www.sciencedirect.com//science/article/pii/S0304405X19301746,Journal of Financial Economics,1.2433516094596744,135,2,Igor Makarov,2020,169.97114190294786
Show me the money: The monetary policy risk premium,"We create a parsimonious monetary policy exposure (MPE) index based on observable firm characteristics that previous studies link to how stocks react to monetary policy. Our index successfully captures stocks’ responses to both conventional and unconventional monetary policy. Stocks whose prices react more positively to expansionary monetary policy (high-MPE stocks) earn lower average returns. This result is consistent with the notion that high-MPE stocks provide a hedge against bad economic shocks, to which the Federal Reserve responds with expansionary monetary policy. A long-short trading strategy designed to exploit this effect achieves an annualized Sharpe Ratio of 0.77.","['Ali Ozdagli', 'Mihail Velikov']","['Monetary policy', 'Asset pricing', 'Risk factors']",[],February,https://www.sciencedirect.com//science/article/pii/S0304405X19301709,Journal of Financial Economics,1.2433516094596744,135,2,Ali Ozdagli,2020,169.97114190294786
Quantify the quantitative easing: Impact on bonds and corporate debt issuance,"This paper studies the impact of the European Central Bank’s (ECB) Corporate Sector Purchase Programme (CSPP) announcement on prices, liquidity, and debt issuance in the European corporate bond market using a data set on bond transactions from Euroclear. I find that the quantitative easing (QE) programme increased prices and liquidity of bonds eligible to be purchased substantially. Bond yields dropped on average by 30 basis points (bps) (8%) after the CSPP announcement. Tri-party repo turnover rose by 8.15 million USD (29%), and bilateral turnover went up by 7.05 million USD (72%). Bid-ask spreads also showed significant liquidity improvement in eligible bonds. QE was successful in boosting corporate debt issuance. Firms issued 2.19 billion EUR (25%) more in QE-eligible debt after the CSPP announcement, compared to other types of debt. Surprisingly, corporates used the attracted funds mostly to increase dividends. These effects were more pronounced for longer-maturity, lower-rated bonds, and for more credit-constrained, lower-rated firms.",['Karamfil Todorov'],"['Quantitative easing', 'Corporate Sector Purchase Programme', 'ECB', 'Bond market', 'Corporate debt issuance']",[],February,https://www.sciencedirect.com//science/article/pii/S0304405X19301941,Journal of Financial Economics,1.2433516094596744,135,2,Karamfil Todorov,2020,169.97114190294786
Trading out of sight: An analysis of cross-trading in mutual fund families,"This paper explores how mutual fund groups set the price of in-house transactions among affiliated funds. We collect a data set of four million equity transactions and compare the pricing of trades crossed internally (cross-trades) with that of twin trades executed with external counterparties. While cross-trades should reduce transaction costs for both trading parties, we find that the price of cross-trades is set strategically to reallocate performance among sibling funds. Furthermore, we provide evidence that a large number of cross-trades are backdated. We discuss the implications for the literature on fund performance and the current regulatory debate.","['Alexander Eisele', 'Tamara Nefedova', 'Gianpaolo Parise', 'Kim Peijnenburg']","['Mutual fund families', 'Cross-trades', 'Monitoring', 'Backdating', 'Transfer pricing']",[],February,https://www.sciencedirect.com//science/article/pii/S0304405X19301734,Journal of Financial Economics,1.2433516094596744,135,2,Alexander Eisele,2020,169.97114190294786
An ill wind? Terrorist attacks and CEO compensation,"Using multiple measures of attack proximity, we show that CEOs employed at firms located near terrorist attacks earn an average pay increase of 12% after the attack relative to CEOs at firms located far from attacks. CEOs at terrorist attack-proximate firms prefer cash-based compensation increases (e.g., salary and bonus) over equity-based compensation (e.g., options and stocks granted). The effect is causal and it is larger when the bargaining power of the CEO is high. Other executives and workers do not receive a terrorist attack premium.","['Yunhao Dai', 'P. Raghavendra Rau', 'Aris Stouraitis', 'Weiqiang Tan']","['Terrorist attacks', 'Executive compensation', 'Compensation structure', 'CEO labor market', 'Nonmonetary compensation']",[],February,https://www.sciencedirect.com//science/article/pii/S0304405X1930162X,Journal of Financial Economics,1.2433516094596744,135,2,Yunhao Dai,2020,169.97114190294786
Measuring skewness premia,"We provide a new methodology to empirically investigate the respective roles of systematic and idiosyncratic skewness in explaining expected stock returns. Using a large number of predictors, we forecast the cross-sectional ranks of systematic and idiosyncratic skewness, which are easier to predict than their actual values. Compared to other measures of ex ante systematic skewness, our forecasts create a significant spread in ex post systematic skewness. A predicted systematic skewness risk factor carries a significant and robust risk premium that ranges from 6% to 12% per year. In contrast, the role of idiosyncratic skewness in pricing stocks is less robust.",['Hugues Langlois'],"['Systematic skewness', 'Coskewness', 'Idiosyncratic skewness', 'Large panel regression', 'Forecasting']",[],February,https://www.sciencedirect.com//science/article/pii/S0304405X1930159X,Journal of Financial Economics,1.2433516094596744,135,2,Hugues Langlois,2020,169.97114190294786
Reputations and credit ratings: Evidence from commercial mortgage-backed securities,"How do changes in a rating agency's reputation affect the ratings market? We study the dynamics of credit ratings after Standard & Poor's (S&P) was shut out of a large segment of the commercial mortgage-backed securities (CMBS) ratings market following a procedural mistake. Exploiting the fact that most CMBS have ratings from multiple agencies, we show that S&P subsequently eased its standards compared to other raters. This coincided with a partial recovery in the number of deals S&P was hired to rate. Our findings suggest that an agency can regain market share after suffering reputational damage by issuing optimistic ratings.","['Ramin P. Baghai', 'Bo Becker']","['Credit ratings', 'Reputation', 'Competition', 'Information quality', 'Commercial mortgage-backed securities']",[],February,https://www.sciencedirect.com//science/article/pii/S0304405X19301588,Journal of Financial Economics,1.2433516094596744,135,2,Ramin P. Baghai,2020,169.97114190294786
Financing dies in darkness? The impact of newspaper closures on public finance,"We examine how local newspaper closures affect public finance outcomes for local governments. Following a newspaper closure, municipal borrowing costs increase by 5–11 basis points, costing the municipality an additional $650,000 per issue. This effect is causal and not driven by underlying economic conditions. The loss of government monitoring resulting from a closure is associated with higher government wages and deficits and increased likelihoods of costly advance refundings and negotiated sales. Overall, our results indicate that local newspapers hold their governments accountable, keeping municipal borrowing costs low and ultimately saving local taxpayers money.","['Pengjie Gao', 'Chang Lee', 'Dermot Murphy']","['Media', 'Monitoring', 'Public finance', 'Municipal bonds']",[],February,https://www.sciencedirect.com//science/article/pii/S0304405X19301606,Journal of Financial Economics,1.2433516094596744,135,2,Pengjie Gao,2020,169.97114190294786
An inconvenient cost: The effects of climate change on municipal bonds,"Counties more likely to be affected by climate change pay more in underwriting fees and initial yields to issue long-term municipal bonds compared to counties unlikely to be affected by climate change. This difference disappears when comparing short-term municipal bonds, implying the market prices climate change risks for long-term securities only. Higher issuance costs for climate risk counties are driven by bonds with lower credit ratings. Investor attention is a driving factor, as the difference in issuance costs on bonds issued by climate and nonclimate affected counties increases after the release of the 2006 Stern Review on climate change.",['Marcus Painter'],"['Climate change', 'Municipal bonds', 'Sea level rise', 'Investor attention']",[],February,https://www.sciencedirect.com//science/article/pii/S0304405X19301631,Journal of Financial Economics,1.2433516094596744,135,2,Marcus Painter,2020,169.97114190294786
Institutional shareholders and corporate social responsibility,"This study uses two distinct quasi-natural experiments to examine the effect of institutional shareholders on corporate social responsibility (CSR). We first find that an exogenous increase in institutional holding caused by Russell Index reconstitutions improves portfolio firms’ CSR performance. We then find that firms have lower CSR ratings when shareholders are distracted due to exogenous shocks. Moreover, the effect of institutional ownership is stronger in CSR categories that are financially material. Furthermore, we show that institutional shareholders influence CSR through CSR-related proposals. Overall, our results suggest that institutional shareholders can generate real social impact.","['Tao Chen', 'Hui Dong', 'Chen Lin']","['Institutional ownership', 'Indexing', 'Shareholder attention', 'Corporate social responsibility', 'Random discontinuity']",[],February,https://www.sciencedirect.com//science/article/pii/S0304405X19301643,Journal of Financial Economics,1.2433516094596744,135,2,Tao Chen,2020,169.97114190294786
Inventor CEOs,"One in five U.S. high-technology firms are led by CEOs with hands-on innovation experience as inventors. Firms led by “Inventor CEOs” are associated with higher quality innovation, especially when the CEO is a high-impact inventor. During an Inventor CEO's tenure, firms file a greater number of patents and more valuable patents in technology classes where the CEO's hands-on experience lies. Utilizing plausibly exogenous CEO turnovers to address the matching of CEOs to firms suggests these effects are causal. The results can be explained by an Inventor CEO's superior ability to evaluate, select, and execute innovative investment projects related to their own hands-on experience.","['Emdad Islam', 'Jason Zein']","['Inventor CEOs', 'CEO style', 'Innovation', 'Human capital']",[],February,https://www.sciencedirect.com//science/article/pii/S0304405X19301667,Journal of Financial Economics,1.2433516094596744,135,2,Emdad Islam,2020,169.97114190294786
Is information risk priced? Evidence from abnormal idiosyncratic volatility,"We propose a new, price-based measure of information risk called abnormal idiosyncratic volatility (AIV) that captures information asymmetry faced by uninformed investors. AIV is the idiosyncratic volatility prior to information events in excess of normal levels. Using earnings announcements as information events, we show that AIV is positively associated with informed return run-ups, abnormal insider trading, short selling, and institutional trading during pre-earnings-announcement periods. We find that stocks with high AIV earn economically and statistically larger future returns than stocks with low AIV. Taken together, our findings support the notion that information risk is priced.","['Yung Chiang Yang', 'Bohui Zhang', 'Chu Zhang']","['Information risk', 'Idiosyncratic volatility', 'Earnings announcement', 'Expected returns']",[],February,https://www.sciencedirect.com//science/article/pii/S0304405X19301710,Journal of Financial Economics,1.2433516094596744,135,2,Yung Chiang Yang,2020,169.97114190294786
Dynamic interventions and informational linkages,"We model a dynamic economy with strategic complementarity among investors and study how endogenous government interventions mitigate coordination failures. We establish equilibrium existence and uniqueness, and we show that one intervention can affect another through altering the public information structure. A stronger initial intervention helps subsequent interventions through increasing the likelihood of positive news, but also leads to negative conditional updates. Our results suggest optimal policy should emphasize initial interventions when coordination outcomes tend to correlate. Neglecting informational externalities of initial interventions results in over- or under-interventions. Moreover, saving smaller funds disproportionally more can generate greater informational benefits at smaller costs.","['Lin William Cong', 'Steven R. Grenadier', 'Yunzhi Hu']","['Coordination failures', 'Government intervention', 'Information design', 'Financial crisis', 'Global games', 'Learning']",[],January,https://www.sciencedirect.com//science/article/pii/S0304405X19301369,Journal of Financial Economics,1.2433516094596744,135,1,Lin William Cong,2020,169.97114190294786
Providing liquidity in an illiquid market: Dealer behavior in US corporate bonds,"We examine market making behavior of dealers for 55,988 corporate bonds, many of which trade infrequently. Dealers have a substantially higher propensity to offset trades within the same day rather than committing capital for longer periods for riskier and less actively traded bonds. Dealers’ holding periods do not decline with a bond's prior trading activity and in fact are lowest for some of the least active bonds. As a result, cross-sectional estimates of roundtrip trading costs do not increase as prior trading activity declines. Our results suggest that dealers endogenously adjust their behavior to mitigate inventory risk from trading in illiquid and higher risk securities, balancing search and inventory costs in equilibrium such that observed spreads can appear invariant to expected liquidity.","['Michael A. Goldstein', 'Edith S. Hotchkiss']","['Liquidity provision', 'Dealer behavior', 'Corporate bonds', 'Illiquidity', 'Roundtrip costs']",[],January,https://www.sciencedirect.com//science/article/pii/S0304405X19301394,Journal of Financial Economics,1.2433516094596744,135,1,Michael A. Goldstein,2020,169.97114190294786
The job rating game: Revolving doors and analyst incentives,"Investment banks frequently hire analysts from rating agencies. While many argue that this “revolving door” creates captured analysts, it can also create incentives to improve accuracy. To study this issue, I construct an original data set, linking analysts to their career paths and the securitized finance ratings they issue. First, I show that accurate analysts are more frequently hired by underwriting investment banks. Second, I exploit two distinct sources of variation in the likelihood of being hired by a bank. Both indicate that, as this likelihood rises, analyst accuracy improves. The findings suggest policymakers should consider incentive effects alongside capture concerns.",['Elisabeth Kempf'],"['Revolving door', 'Career concerns', 'Analysts', 'Credit ratings', 'Securitized finance']",[],January,https://www.sciencedirect.com//science/article/pii/S0304405X19301370,Journal of Financial Economics,1.2433516094596744,135,1,Elisabeth Kempf,2020,169.97114190294786
Potential pilot problems: Treatment spillovers in financial regulatory experiments,"The total effects of a regulatory change consist of direct effects and indirect effects (spillovers), but the standard difference-in-difference approach mostly ignores potential indirect effects. During the 2007 full repeal of the uptick rule, short-sellers become much more aggressive across the board, even in control stocks where the uptick rule is already suspended. This finding is consistent with positive and significant indirect effects on control stocks, likely driven by aggressive broad list-based shorting. In contract, the indirect effect coefficients on shorting aggressiveness are negative for the 2005 partial uptick repeal, possibly due to substitutions between control and treatment stocks.","['Ekkehart Boehmer', 'Charles M. Jones', 'Xiaoyan Zhang']","['Interference', 'Short sales', 'Aggressiveness', 'Tick test', 'Regulation SHO']",[],January,https://www.sciencedirect.com//science/article/pii/S0304405X19301412,Journal of Financial Economics,1.2433516094596744,135,1,Ekkehart Boehmer,2020,169.97114190294786
Idea sharing and the performance of mutual funds,"I develop an equilibrium model to explain why few mutual fund managers consistently outperform, even though many have strong informational advantages. The key ingredient is that managers obtain investment ideas through idea sharing. Idea sharing improves statistical significance of alpha through increased price informativeness. But it also causes better informed managers to take larger positions, which makes their alpha noisier—although a significant fraction of managers builds strong informational advantages, statistical significance and persistence of alpha concentrate in underperforming funds. I argue that in-house development of ideas cannot explain these facts.",['Julien Cujean'],"['Idea sharing', 'Performance', 'Rational-expectations equilibrium']",[],January,https://www.sciencedirect.com//science/article/pii/S0304405X19301400,Journal of Financial Economics,1.2433516094596744,135,1,Julien Cujean,2020,169.97114190294786
Squaring venture capital valuations with reality,"We develop a valuation model for venture capital–backed companies and apply it to 135 US unicorns, that is, private companies with reported valuations above $1 billion. We value unicorns using financial terms from legal filings and find that reported unicorn post-money valuations average 48% above fair value, with 14 being more than 100% above. Reported valuations assume that all shares are as valuable as the most recently issued preferred shares. We calculate values for each share class, which yields lower valuations because most unicorns gave recent investors major protections such as initial public offering (IPO) return guarantees (15%), vetoes over down-IPOs (24%), or seniority to all other investors (30%). Common shares lack all such protections and are 56% overvalued. After adjusting for these valuation-inflating terms, almost one-half (65 out of 135) of unicorns lose their unicorn status.","['Will Gornall', 'Ilya A. Strebulaev']","['Venture capital', 'Valuation', 'Unicorns', 'Capital structure', 'Entrepreneurship']",[],January,https://www.sciencedirect.com//science/article/pii/S0304405X19301692,Journal of Financial Economics,1.2433516094596744,135,1,Will Gornall,2020,169.97114190294786
Exchanges of innovation resources inside venture capital portfolios,"I explore the prevalence of exchanges of innovation resources inside venture capital portfolios. I show that after companies join investors’ portfolios, several proxies of exchanges between them and portfolio companies (relative to matched nonportfolio companies) increase by an average of 60%. The increase holds when joining events are plausibly exogenous and when VCs’ bargaining power and potential conflicts of interest are low. Three novel mechanisms are supported: carve-outs, spawning, and recycling, whereby entrepreneurs divest innovation units, start new ventures, and reuse assets in other portfolio companies, respectively. Results suggest that returns to innovation are higher in venture capital portfolios.",['Juanita González-Uribe'],"['Venture capital portfolios', 'Innovation resources', 'State pension funds']",[],January,https://www.sciencedirect.com//science/article/pii/S0304405X19301424,Journal of Financial Economics,1.2433516094596744,135,1,Juanita González-Uribe,2020,169.97114190294786
How do venture capitalists make decisions?,"We survey 885 institutional venture capitalists (VCs) at 681 firms to learn how they make decisions. Using the framework in Kaplan and Strömberg (2001), we provide detailed information on VCs’ practices in pre-investment screening (sourcing evaluating and selecting investments), in structuring investments, and in post-investment monitoring and advising. In selecting investments, VCs see the management team as somewhat more important than business-related characteristics such as product or technology although there is meaningful cross-sectional variation across company stage and industry. VCs also attribute the ultimate investment success or failure more to the team than to the business. While deal sourcing, deal selection, and post-investment value-added all contribute to value creation, the VCs rate deal selection as the most important of the three. We compare our results to those for chief financial officers (Graham and Harvey, 2001) and private equity investors (Gompers et al., 2016a).","['Paul A. Gompers', 'Will Gornall', 'Steven N. Kaplan', 'Ilya A. Strebulaev']","['Venture capital', 'Value creation', 'Capital structure', 'Entrepreneurship']",[],January,https://www.sciencedirect.com//science/article/pii/S0304405X19301680,Journal of Financial Economics,1.2433516094596744,135,1,Paul A. Gompers,2020,169.97114190294786
"Shorting flows, public disclosure, and market efficiency","Shorting flows remain a significant predictor of negative future stock returns during 2010–2015, when daily short-sale volume data are published in real time. This predictability decays slowly and lasts for a year. Long-term shorting flows are more informative than short-term shorting flows. Indeed, abnormal short-term shorting flows do not predict future returns or anticipate bad news. We find that short sellers exploit prominent anomalies. A comparison with the Regulation SHO data indicates that the predictability is much shorter-term during 2005–2007. Short sellers appear to have shifted from trading on short-term private information to trading on long-term public information that is gradually incorporated into prices.","['Xue Wang', 'Xuemin\xa0(Sterling) Yan', 'Lingling Zheng']","['Short sale', 'Public disclosure', 'Return predictability', 'Anomalies']",[],January,https://www.sciencedirect.com//science/article/pii/S0304405X19301436,Journal of Financial Economics,1.2433516094596744,135,1,Xue Wang,2020,169.97114190294786
"Anomalies across the globe: Once public, no longer existent?","Motivated by McLean and Pontiff (2016), we study the pre- and post-publication return predictability of 241 cross-sectional anomalies in 39 stock markets. We find, based on more than two million anomaly country-months, that the United States is the only country with a reliable post-publication decline in long-short returns. Collectively, our meta-analysis of return predictors suggests that barriers to arbitrage trading can create segmented markets and that anomalies tend to represent mispricing instead of data mining.","['Heiko Jacobs', 'Sebastian Müller']","['Return predictability', 'International stock markets', 'Arbitrage', 'Publication impact', 'Anomalies']",[],January,https://www.sciencedirect.com//science/article/pii/S0304405X19301618,Journal of Financial Economics,1.2433516094596744,135,1,Heiko Jacobs,2020,169.97114190294786
