Year,Year_Scaled,Year_STD,Month,Keywords,Abstract,Abstract_Cleaned,Abstract Length,Keywords_Cleaned,Number of Keywords,Month_Cleaned
2020,1.2433516094596744,169.97114190294786,March,"['Liquidity','Information asymmetry']","We show that the PIN and the Duarte and Young (2009) (APIN) models do not match the variability of noise trade in the data and that this limitation has severe implications for how these models identify private information. We examine two alternatives to these models, the Generalized PIN model (GPIN) and the Odders-White and Ready (2008) model (OWR). Our tests indicate that measures of private information based on the OWR and GPIN models are promising alternatives to the APIN’s Adj.PIN and PIN.",show pin duart young 2009 apin model match variabl nois trade data limit sever implic model identifi privat information examin two altern models general pin model gpin odderswhit readi 2008 model owr test indic measur privat inform base owr gpin model promis altern apin adjpin pin,498,"[""liquidity','inform asymmetri""]",1,3
2020,1.2433516094596744,169.97114190294786,March,"['Household finance', 'Portfolio choice', 'Heterogeneity in risk tolerance and age']","This paper develops an overlapping generations model of optimal rebalancing where agents differ in age and risk tolerance. Equilibrium rebalancing is driven by a leverage effect that influences levered and unlevered agents in opposite directions, an aggregate risk tolerance effect that depends on the distribution of wealth, and an intertemporal hedging effect. After a negative macroeconomic shock, relatively risk-tolerant investors sell risky assets, while more risk-averse investors buy them. Owing to interactions of leverage and changing wealth, however, all agents have higher exposure to aggregate risk after a negative macroeconomic shock and lower exposure after a positive shock.",paper develop overlap generat model optim rebalanc agent differ age risk tolerance equilibrium rebalanc driven leverag effect influenc lever unlev agent opposit directions aggreg risk toler effect depend distribut wealth intertempor hedg effect negat macroeconom shock relat risktoler investor sell riski assets riskavers investor buy them owe interact leverag chang wealth however agent higher exposur aggreg risk negat macroeconom shock lower exposur posit shock,691,"['household financ', 'portfolio choic', 'heterogen in risk toler and age']",3,3
2020,1.2433516094596744,169.97114190294786,February,"['Factor models','SDF','Cross section','Shrinkage','Machine learning']","We construct a robust stochastic discount factor (SDF) summarizing the joint explanatory power of a large number of cross-sectional stock return predictors. Our method achieves robust out-of-sample performance in this high-dimensional setting by imposing an economically motivated prior on SDF coefficients that shrinks contributions of low-variance principal components of the candidate characteristics-based factors. We find that characteristics-sparse SDFs formed from a few such factors—e.g., the four- or five-factor models in the recent literature—cannot adequately summarize the cross-section of expected stock returns. However, an SDF formed from a small number of principal components performs well.",construct robust stochast discount factor sdf summar joint explanatori power larg number crosssect stock return predictors method achiev robust outofsampl perform highdimension set impos econom motiv prior sdf coeffici shrink contribut lowvari princip compon candid characteristicsbas factors find characteristicsspars sdfs form factorseg four fivefactor model recent literaturecannot adequ summar crosssect expect stock returns however sdf form small number princip compon perform well,708,"[""factor models','sdf','cross section','shrinkage','machin learn""]",1,2
2020,1.2433516094596744,169.97114190294786,February,"['Cryptocurrencies', 'Bitcoin', 'Arbitrage', 'Price impact', 'Capital controls']","Cryptocurrency markets exhibit periods of large, recurrent arbitrage opportunities across exchanges. These price deviations are much larger across than within countries, and smaller between cryptocurrencies, highlighting the importance of capital controls for the movement of arbitrage capital. Price deviations across countries co-move and open up in times of large bitcoin appreciation. Countries with higher bitcoin premia over the US bitcoin price see widening arbitrage deviations when bitcoin appreciates. Finally, we decompose signed volume on each exchange into a common and an idiosyncratic component. The common component explains 80% of bitcoin returns. The idiosyncratic components help explain arbitrage spreads between exchanges.",cryptocurr market exhibit period large recurr arbitrag opportun across exchanges price deviat much larger across within countries smaller cryptocurrencies highlight import capit control movement arbitrag capital price deviat across countri comov open time larg bitcoin appreciation countri higher bitcoin premia us bitcoin price see widen arbitrag deviat bitcoin appreciates finally decompos sign volum exchang common idiosyncrat component common compon explain 80 bitcoin returns idiosyncrat compon help explain arbitrag spread exchanges,743,"['cryptocurr', 'bitcoin', 'arbitrag', 'price impact', 'capit control']",5,2
2020,1.2433516094596744,169.97114190294786,February,"['Monetary policy', 'Asset pricing', 'Risk factors']","We create a parsimonious monetary policy exposure (MPE) index based on observable firm characteristics that previous studies link to how stocks react to monetary policy. Our index successfully captures stocks’ responses to both conventional and unconventional monetary policy. Stocks whose prices react more positively to expansionary monetary policy (high-MPE stocks) earn lower average returns. This result is consistent with the notion that high-MPE stocks provide a hedge against bad economic shocks, to which the Federal Reserve responds with expansionary monetary policy. A long-short trading strategy designed to exploit this effect achieves an annualized Sharpe Ratio of 0.77.",creat parsimoni monetari polici exposur mpe index base observ firm characterist previous studi link stock react monetari policy index success captur stock respons convent unconvent monetari policy stock whose price react posit expansionari monetari polici highmp stocks earn lower averag returns result consist notion highmp stock provid hedg bad econom shocks feder reserv respond expansionari monetari policy longshort trade strategi design exploit effect achiev annual sharp ratio 077,684,"['monetari polici', 'asset price', 'risk factor']",3,2
2020,1.2433516094596744,169.97114190294786,February,"['Quantitative easing', 'Corporate Sector Purchase Programme', 'ECB', 'Bond market', 'Corporate debt issuance']","This paper studies the impact of the European Central Bank’s (ECB) Corporate Sector Purchase Programme (CSPP) announcement on prices, liquidity, and debt issuance in the European corporate bond market using a data set on bond transactions from Euroclear. I find that the quantitative easing (QE) programme increased prices and liquidity of bonds eligible to be purchased substantially. Bond yields dropped on average by 30 basis points (bps) (8%) after the CSPP announcement. Tri-party repo turnover rose by 8.15 million USD (29%), and bilateral turnover went up by 7.05 million USD (72%). Bid-ask spreads also showed significant liquidity improvement in eligible bonds. QE was successful in boosting corporate debt issuance. Firms issued 2.19 billion EUR (25%) more in QE-eligible debt after the CSPP announcement, compared to other types of debt. Surprisingly, corporates used the attracted funds mostly to increase dividends. These effects were more pronounced for longer-maturity, lower-rated bonds, and for more credit-constrained, lower-rated firms.",paper studi impact european central bank ecb corpor sector purchas programm cspp announc prices liquidity debt issuanc european corpor bond market use data set bond transact euroclear find quantit eas qe programm increas price liquid bond elig purchas substantially bond yield drop averag 30 basi point bps 8 cspp announcement triparti repo turnov rose 815 million usd 29 bilater turnov went 705 million usd 72 bidask spread also show signific liquid improv elig bonds qe success boost corpor debt issuance firm issu 219 billion eur 25 qeelig debt cspp announcement compar type debt surprisingly corpor use attract fund increas dividends effect pronounc longermaturity lowerr bonds creditconstrained lowerr firms,1055,"['quantit eas', 'corpor sector purchas programm', 'ecb', 'bond market', 'corpor debt issuanc']",5,2
2020,1.2433516094596744,169.97114190294786,February,"['Mutual fund families', 'Cross-trades', 'Monitoring', 'Backdating', 'Transfer pricing']","This paper explores how mutual fund groups set the price of in-house transactions among affiliated funds. We collect a data set of four million equity transactions and compare the pricing of trades crossed internally (cross-trades) with that of twin trades executed with external counterparties. While cross-trades should reduce transaction costs for both trading parties, we find that the price of cross-trades is set strategically to reallocate performance among sibling funds. Furthermore, we provide evidence that a large number of cross-trades are backdated. We discuss the implications for the literature on fund performance and the current regulatory debate.",paper explor mutual fund group set price inhous transact among affili funds collect data set four million equiti transact compar price trade cross intern crosstrades twin trade execut extern counterparties crosstrad reduc transact cost trade parties find price crosstrad set strateg realloc perform among sibl funds furthermore provid evid larg number crosstrad backdated discuss implic literatur fund perform current regulatori debate,665,"['mutual fund famili', 'cross-trad', 'monitor', 'backdat', 'transfer price']",5,2
2020,1.2433516094596744,169.97114190294786,February,"['Terrorist attacks', 'Executive compensation', 'Compensation structure', 'CEO labor market', 'Nonmonetary compensation']","Using multiple measures of attack proximity, we show that CEOs employed at firms located near terrorist attacks earn an average pay increase of 12% after the attack relative to CEOs at firms located far from attacks. CEOs at terrorist attack-proximate firms prefer cash-based compensation increases (e.g., salary and bonus) over equity-based compensation (e.g., options and stocks granted). The effect is causal and it is larger when the bargaining power of the CEO is high. Other executives and workers do not receive a terrorist attack premium.",use multipl measur attack proximity show ceo employ firm locat near terrorist attack earn averag pay increas 12 attack relat ceo firm locat far attacks ceo terrorist attackproxim firm prefer cashbas compens increas eg salari bonus equitybas compens eg option stock granted effect causal larger bargain power ceo high execut worker receiv terrorist attack premium,546,"['terrorist attack', 'execut compens', 'compens structur', 'ceo labor market', 'nonmonetari compens']",5,2
2020,1.2433516094596744,169.97114190294786,February,"['Systematic skewness', 'Coskewness', 'Idiosyncratic skewness', 'Large panel regression', 'Forecasting']","We provide a new methodology to empirically investigate the respective roles of systematic and idiosyncratic skewness in explaining expected stock returns. Using a large number of predictors, we forecast the cross-sectional ranks of systematic and idiosyncratic skewness, which are easier to predict than their actual values. Compared to other measures of ex ante systematic skewness, our forecasts create a significant spread in ex post systematic skewness. A predicted systematic skewness risk factor carries a significant and robust risk premium that ranges from 6% to 12% per year. In contrast, the role of idiosyncratic skewness in pricing stocks is less robust.",provid new methodolog empir investig respect role systemat idiosyncrat skew explain expect stock returns use larg number predictors forecast crosssect rank systemat idiosyncrat skewness easier predict actual values compar measur ex ant systemat skewness forecast creat signific spread ex post systemat skewness predict systemat skew risk factor carri signific robust risk premium rang 6 12 per year contrast role idiosyncrat skew price stock less robust,667,"['systemat skew', 'coskew', 'idiosyncrat skew', 'larg panel regress', 'forecast']",5,2
2020,1.2433516094596744,169.97114190294786,February,"['Credit ratings', 'Reputation', 'Competition', 'Information quality', 'Commercial mortgage-backed securities']","How do changes in a rating agency's reputation affect the ratings market? We study the dynamics of credit ratings after Standard & Poor's (S&P) was shut out of a large segment of the commercial mortgage-backed securities (CMBS) ratings market following a procedural mistake. Exploiting the fact that most CMBS have ratings from multiple agencies, we show that S&P subsequently eased its standards compared to other raters. This coincided with a partial recovery in the number of deals S&P was hired to rate. Our findings suggest that an agency can regain market share after suffering reputational damage by issuing optimistic ratings.",chang rate agenc reput affect rate market studi dynam credit rate standard  poor sp shut larg segment commerci mortgageback secur cmbs rate market follow procedur mistake exploit fact cmbs rate multipl agencies show sp subsequ eas standard compar raters coincid partial recoveri number deal sp hire rate find suggest agenc regain market share suffer reput damag issu optimist ratings,634,"['credit rate', 'reput', 'competit', 'inform qualiti', 'commerci mortgage-back secur']",5,2
2020,1.2433516094596744,169.97114190294786,February,"['Media', 'Monitoring', 'Public finance', 'Municipal bonds']","We examine how local newspaper closures affect public finance outcomes for local governments. Following a newspaper closure, municipal borrowing costs increase by 5–11 basis points, costing the municipality an additional $650,000 per issue. This effect is causal and not driven by underlying economic conditions. The loss of government monitoring resulting from a closure is associated with higher government wages and deficits and increased likelihoods of costly advance refundings and negotiated sales. Overall, our results indicate that local newspapers hold their governments accountable, keeping municipal borrowing costs low and ultimately saving local taxpayers money.",examin local newspap closur affect public financ outcom local governments follow newspap closure municip borrow cost increas 511 basi points cost municip addit 650000 per issue effect causal driven econom conditions loss govern monitor result closur associ higher govern wage deficit increas likelihood cost advanc refund negoti sales overall result indic local newspap hold govern accountable keep municip borrow cost low ultim save local taxpay money,675,"['media', 'monitor', 'public financ', 'municip bond']",4,2
2020,1.2433516094596744,169.97114190294786,February,"['Climate change', 'Municipal bonds', 'Sea level rise', 'Investor attention']","Counties more likely to be affected by climate change pay more in underwriting fees and initial yields to issue long-term municipal bonds compared to counties unlikely to be affected by climate change. This difference disappears when comparing short-term municipal bonds, implying the market prices climate change risks for long-term securities only. Higher issuance costs for climate risk counties are driven by bonds with lower credit ratings. Investor attention is a driving factor, as the difference in issuance costs on bonds issued by climate and nonclimate affected counties increases after the release of the 2006 Stern Review on climate change.",counti like affect climat chang pay underwrit fee initi yield issu longterm municip bond compar counti unlik affect climat change differ disappear compar shortterm municip bonds impli market price climat chang risk longterm secur only higher issuanc cost climat risk counti driven bond lower credit ratings investor attent drive factor differ issuanc cost bond issu climat nonclim affect counti increas releas 2006 stern review climat change,653,"['climat chang', 'municip bond', 'sea level rise', 'investor attent']",4,2
2020,1.2433516094596744,169.97114190294786,February,"['Institutional ownership', 'Indexing', 'Shareholder attention', 'Corporate social responsibility', 'Random discontinuity']","This study uses two distinct quasi-natural experiments to examine the effect of institutional shareholders on corporate social responsibility (CSR). We first find that an exogenous increase in institutional holding caused by Russell Index reconstitutions improves portfolio firms’ CSR performance. We then find that firms have lower CSR ratings when shareholders are distracted due to exogenous shocks. Moreover, the effect of institutional ownership is stronger in CSR categories that are financially material. Furthermore, we show that institutional shareholders influence CSR through CSR-related proposals. Overall, our results suggest that institutional shareholders can generate real social impact.",studi use two distinct quasinatur experi examin effect institut sharehold corpor social respons csr first find exogen increas institut hold caus russel index reconstitut improv portfolio firm csr performance find firm lower csr rate sharehold distract due exogen shocks moreover effect institut ownership stronger csr categori financi material furthermore show institut sharehold influenc csr csrrelat proposals overall result suggest institut sharehold generat real social impact,703,"['institut ownership', 'index', 'sharehold attent', 'corpor social respons', 'random discontinu']",5,2
2020,1.2433516094596744,169.97114190294786,February,"['Inventor CEOs', 'CEO style', 'Innovation', 'Human capital']","One in five U.S. high-technology firms are led by CEOs with hands-on innovation experience as inventors. Firms led by “Inventor CEOs” are associated with higher quality innovation, especially when the CEO is a high-impact inventor. During an Inventor CEO's tenure, firms file a greater number of patents and more valuable patents in technology classes where the CEO's hands-on experience lies. Utilizing plausibly exogenous CEO turnovers to address the matching of CEOs to firms suggests these effects are causal. The results can be explained by an Inventor CEO's superior ability to evaluate, select, and execute innovative investment projects related to their own hands-on experience.",one five us hightechnolog firm led ceo handson innov experi inventors firm led inventor ceos associ higher qualiti innovation especi ceo highimpact inventor dure inventor ceo tenure firm file greater number patent valuabl patent technolog class ceo handson experi lies util plausibl exogen ceo turnov address match ceo firm suggest effect causal result explain inventor ceo superior abil evaluate select execut innov invest project relat handson experience,686,"['inventor ceo', 'ceo style', 'innov', 'human capit']",4,2
2020,1.2433516094596744,169.97114190294786,February,"['Information risk', 'Idiosyncratic volatility', 'Earnings announcement', 'Expected returns']","We propose a new, price-based measure of information risk called abnormal idiosyncratic volatility (AIV) that captures information asymmetry faced by uninformed investors. AIV is the idiosyncratic volatility prior to information events in excess of normal levels. Using earnings announcements as information events, we show that AIV is positively associated with informed return run-ups, abnormal insider trading, short selling, and institutional trading during pre-earnings-announcement periods. We find that stocks with high AIV earn economically and statistically larger future returns than stocks with low AIV. Taken together, our findings support the notion that information risk is priced.",propos new pricebas measur inform risk call abnorm idiosyncrat volatil aiv captur inform asymmetri face uninform investors aiv idiosyncrat volatil prior inform event excess normal levels use earn announc inform events show aiv posit associ inform return runups abnorm insid trading short selling institut trade dure preearningsannounc periods find stock high aiv earn econom statist larger futur return stock low aiv taken together find support notion inform risk priced,695,"['inform risk', 'idiosyncrat volatil', 'earn announc', 'expect return']",4,2
2020,1.2433516094596744,169.97114190294786,January,"['Coordination failures', 'Government intervention', 'Information design', 'Financial crisis', 'Global games', 'Learning']","We model a dynamic economy with strategic complementarity among investors and study how endogenous government interventions mitigate coordination failures. We establish equilibrium existence and uniqueness, and we show that one intervention can affect another through altering the public information structure. A stronger initial intervention helps subsequent interventions through increasing the likelihood of positive news, but also leads to negative conditional updates. Our results suggest optimal policy should emphasize initial interventions when coordination outcomes tend to correlate. Neglecting informational externalities of initial interventions results in over- or under-interventions. Moreover, saving smaller funds disproportionally more can generate greater informational benefits at smaller costs.",model dynam economi strateg complementar among investor studi endogen govern intervent mitig coordin failures establish equilibrium exist uniqueness show one intervent affect anoth alter public inform structure stronger initi intervent help subsequ intervent increas likelihood posit news also lead negat condit updates result suggest optim polici emphas initi intervent coordin outcom tend correlate neglect inform extern initi intervent result over underinterventions moreover save smaller fund disproport generat greater inform benefit smaller costs,814,"['coordin failur', 'govern intervent', 'inform design', 'financi crisi', 'global game', 'learn']",6,1
2020,1.2433516094596744,169.97114190294786,January,"['Liquidity provision', 'Dealer behavior', 'Corporate bonds', 'Illiquidity', 'Roundtrip costs']","We examine market making behavior of dealers for 55,988 corporate bonds, many of which trade infrequently. Dealers have a substantially higher propensity to offset trades within the same day rather than committing capital for longer periods for riskier and less actively traded bonds. Dealers’ holding periods do not decline with a bond's prior trading activity and in fact are lowest for some of the least active bonds. As a result, cross-sectional estimates of roundtrip trading costs do not increase as prior trading activity declines. Our results suggest that dealers endogenously adjust their behavior to mitigate inventory risk from trading in illiquid and higher risk securities, balancing search and inventory costs in equilibrium such that observed spreads can appear invariant to expected liquidity.",examin market make behavior dealer 55988 corpor bonds mani trade infrequently dealer substanti higher propens offset trade within day rather commit capit longer period riskier less activ trade bonds dealer hold period declin bond prior trade activ fact lowest least activ bonds result crosssect estim roundtrip trade cost increas prior trade activ declines result suggest dealer endogen adjust behavior mitig inventori risk trade illiquid higher risk securities balanc search inventori cost equilibrium observ spread appear invari expect liquidity,809,"['liquid provis', 'dealer behavior', 'corpor bond', 'illiquid', 'roundtrip cost']",5,1
2020,1.2433516094596744,169.97114190294786,January,"['Revolving door', 'Career concerns', 'Analysts', 'Credit ratings', 'Securitized finance']","Investment banks frequently hire analysts from rating agencies. While many argue that this “revolving door” creates captured analysts, it can also create incentives to improve accuracy. To study this issue, I construct an original data set, linking analysts to their career paths and the securitized finance ratings they issue. First, I show that accurate analysts are more frequently hired by underwriting investment banks. Second, I exploit two distinct sources of variation in the likelihood of being hired by a bank. Both indicate that, as this likelihood rises, analyst accuracy improves. The findings suggest policymakers should consider incentive effects alongside capture concerns.",invest bank frequent hire analyst rate agencies mani argu revolv door creat captur analysts also creat incent improv accuracy studi issue construct origin data set link analyst career path securit financ rate issue first show accur analyst frequent hire underwrit invest banks second exploit two distinct sourc variat likelihood hire bank indic that likelihood rises analyst accuraci improves find suggest policymak consid incent effect alongsid captur concerns,689,"['revolv door', 'career concern', 'analyst', 'credit rate', 'securit financ']",5,1
