Token,Frequency,Year
ceo turnov,1,1995
option,1,1995
stock repurcha,1,1995
manageri labor market,1,1995
recapit,1,1995
liquid cost,1,1995
asset pric,1,1995
corpor control,1,1996
polit of financ,1,1996
mbo,1,1996
oper perform,1,1996
portfolio perform,1,1996
portfolio tilt,1,1996
market structur,1,1996
institut investor,1,1996
monitor,1,1996
sharehold activ,1,1996
bid-ask spread,1,1996
bank run,1,1996
execut cost,1,1996
prudent-man regul,1,1996
junk bond,1,1996
strateg compl,1,1996
footbal,1,1996
nyse,1,1996
return on sal,1,1996
strateg substitut,1,1996
m41,1,1996
competit strategi,1,1996
return on asset,1,1996
insur,1,1996
buyout,1,1996
quot,1,1996
nasdaq market mark,1,1996
favor,1,1996
ration,1,1996
bet,1,1996
effici,1,1996
spread,1,1996
nasdaq,1,1996
hostil takeov,1,1996
earn inform,1,1996
index arbitrag,1,1996
program trad,1,1996
invest opportun,1,1996
equiti,1,1996
manageri discret,1,1996
secur issu,1,1996
equiti trad,1,1996
h20,1,1996
control mechan,1,1996
mutual fund,1,1996
execut dismiss,1,1996
r&d,1,1996
firm-specif inform,1,1996
secur pric,1,1996
govern structur,1,1996
capit structur,1,1996
market mak,1,1996
term structur,1,1996
prefer trad,1,1996
collus,1,1996
stock-bond relationship,1,1996
lead-lag relationship,1,1996
premium,1,1996
insid trad,1,1996
interest r,1,1996
auction,1,1996
capm,1,1996
time-vari risk premium,1,1996
technic analysi,1,1996
risk shar,1,1996
mutual fund fe,1,1996
prefer heterogen,1,1996
price respon,1,1996
convert debt off,1,1996
garch-m model,1,1996
bankruptci,1,1996
earn forecast,1,1996
asset structur,1,1996
valuat,1,1996
exit,1,1996
abandon opt,1,1996
open interest,1,1996
volatil,1,1996
futur market,1,1996
price stabil,1,1996
invest newslett,1,1996
market tim,1,1996
ceo,1,1996
outsid directorship,1,1996
intern,1,1996
inform flow,1,1996
cross-sect predict,1,1996
tax,2,1996
debt,2,1996
estim risk,1,1996
event studi,2,1996
corpor govern,2,1996
manag turnov,2,1996
g32,2,1996
market microstructur,2,1996
margin tax r,2,1996
asset pric,2,1996
board of director,2,1996
ownership structur,2,1996
underpr,2,1996
blockhold,2,1996
market effici,2,1996
initi public off,2,1996
financi distress,2,1996
expect secur return,1,1996
takeov,2,1996
monetari polici,1,1996
earn growth,1,1996
signal,1,1996
dividend,1,1996
acquisit,1,1996
merger,1,1996
cash flow,1,1996
disclosur polici,1,1996
g35,1,1996
leverag,1,1996
growth,1,1996
invest,1,1996
activ investor,1,1996
g13,1,1996
prepack,1,1996
liquid,1,1996
peck ord,1,1996
restructur,1,1996
perform evalu,1,1996
ownership disp,1,1996
g24,1,1996
g28,1,1996
busi condit,1,1996
volum,1,1996
stock split,1,1996
extern financ,1,1996
g33,1,1996
industri shock,1,1996
conflict of interest,1,1996
certif,1,1996
bank,1,1996
glass-steag,1,1996
ipo,1,1996
inform cost,1,1996
incent,1,1997
bid ask spread,1,1997
financ,1,1997
contract,1,1997
season equiti off,1,1997
dispers ownership,1,1997
execut compen,1,1997
leverag,1,1997
cost of equ,1,1997
oper perform of small compani,1,1997
separ of ownership and control,1,1997
go publ,1,1997
risk load,1,1997
asset price model,1,1997
collus,1,1997
concentr ownership,1,1997
risk shift,1,1997
bank hold compani,1,1997
inflat,1,1997
standbi underwrit,1,1997
loan-loss reserv,1,1997
adverse-select,1,1997
corpor perform,1,1997
asset valuat,1,1997
execut stock ownership,1,1997
firm perform,1,1997
corpor acquisit,1,1997
q ratio,1,1997
intern diversif,1,1997
transact cost,1,1997
japan,1,1997
layoff,1,1997
residu claim,1,1997
debt,1,1997
option pric,1,1997
upper bound,1,1997
multipl asset,1,1997
czech voucher schem,1,1997
bank,1,1997
apt,1,1997
inform,1,1997
insolv protect,1,1997
risk-tak,1,1997
guaranti fund,1,1997
main bank system,1,1997
japanes corpor govern,1,1997
financi distress,1,1997
technolog,1,1997
financi polici,1,1997
capit budget,1,1997
factor model,1,1997
multibeta capm,1,1997
asset pric,1,1997
market structur,1,1997
block transact,1,1997
cross-subsid,1,1997
issue-cost,1,1997
option,1,1997
swap pric,1,1997
stock opt,1,1997
bond,1,1997
market mak,1,1997
soe,1,1997
intern capit market,1,1997
interest rate derivati,1,1997
odd-eighth avoid,1,1997
eurodollar futur pric,1,1997
interest rate swap,1,1997
bond pric,1,1997
naiv expect,1,1997
analyst forecast,1,1997
invest styl,1,1997
trade system,1,1997
capit alloc,1,1997
trade cost,1,1997
quot round,1,1997
nasdaq market,1,1997
fundament valuat equat,1,1997
contagion,1,1997
shareholder-subscript,1,1997
underpr,1,1997
right,1,1997
institut investor,2,1997
emerg market,2,1997
bid-ask spread,2,1997
initi public off,2,1997
stock,2,1997
interest r,1,1997
british airway,1,1997
market microstructur,2,1997
corpor takeov,1,1997
equiti ownership,1,1997
estim risk,1,1997
expect hypothesi,1,1997
strip,1,1997
small sampl bia,1,1997
vector autoregress,1,1997
condit heteroskedast,1,1997
merger and acquisit,1,1997
right off,2,1997
takeov,2,1997
market effici,2,1997
nasdaq,6,1997
corpor govern,4,1997
spread,3,1997
board of director,3,1997
manag turnov,3,1997
organiz form,3,1997
privat,2,1997
spinoff,2,1997
agenc cost,2,1997
agenc,2,1997
exchang list,2,1997
microstructur,2,1997
restructur,2,1997
liquid,2,1997
nyse,2,1997
loan,2,1997
save,2,1997
treasuri bond,1,1997
bond opt,1,1997
ownership structur,5,1997
callabl bond,1,1997
insid director,1,1997
return autocorrel,1,1997
efficaci,1,1997
blockhold,1,1997
dividend,1,1997
tax,1,1997
real estat,1,1997
network organ,1,1997
divestitur,1,1997
dividend yield,1,1997
board monitor,1,1997
trade execut cost,1,1997
tender off,1,1997
cream skim,1,1997
region stock exchang,1,1997
airlin,1,1997
focus,1,1997
joint ventur,1,1997
nasd dealer market,1,1997
bayesian,1,1997
strateg allianc,1,1997
bayesian analysi,1,1997
ownership,1,1997
capit market reform,1,1997
volatil,1,1997
govern,1,1997
portfolio select,1,1997
mutual fund,1,1997
bond futur,1,1997
miss data,1,1997
ipo,1,1997
underwrit,1,1997
distress,1,1997
book-to-market,1,1997
expect return,1,1997
bootstrap,1,1997
home bia,1,1997
share pric,1,1997
labour union,1,1998
junk bond,1,1998
polit of financ,1,1998
conting claim,1,1998
agenc theori,1,1998
compar corpor govern,1,1998
compens contract,1,1998
financi distress,1,1998
deleg,1,1998
budget rollov,1,1998
mutual fund,1,1998
capital-gain tax,1,1998
airlin industri,1,1998
risk tak,1,1998
bankruptci,1,1998
capit budget,1,1998
behavior financ,1,1998
execut stock opt,1,1998
dividend,1,1998
preferenc,1,1998
agenc problem,1,1998
dealer market,1,1998
market linkag,1,1998
bootstrap,1,1998
manageri compen,1,1998
dow jone industri averag,1,1998
transact cost,1,1998
util maxim,1,1998
sale of shar,1,1998
heterogen investor,1,1998
exercis polici,1,1998
option valuat,1,1998
nontransfer opt,1,1998
share repurcha,1,1998
liabil,1,1998
free cash flow,1,1998
bid-ask spread,1,1998
capit structur,1,1998
ventur capit,1,1998
wage,1,1998
tick siz,1,1998
tax clientel,1,1998
price discret,1,1998
dividend taxat,1,1998
ex day,1,1998
corpor govern,1,1998
board of director,1,1998
soe,1,1998
account accru,1,1998
anti-takeov provi,1,1998
regul,1,1998
corpor control,1,1998
overreact,1,1998
underreact,1,1998
stochast time chang,1,1998
compen,1,1998
corpor financ,1,1998
employ,1,1998
stock repurcha,1,1998
exit strategi,1,1998
environment econom,1,1998
option,1,1998
stock market crash,1,1998
cash flow,1,1998
earn forecast,1,1998
short-term trad,1,1998
nois trad,1,1998
self-tend off,1,1998
liquid,1,1998
book valu,1,1998
forecast,1,1998
investor senti,1,1998
market return,1,1998
predict,1,1998
predictor,1,1998
standard and poor,1,1998
book-to-market,1,1998
inform spillov,1,1998
market disciplin,1,1998
share turnov,1,1998
esop,1,1998
capit market,1,1998
information-tim,1,1998
corpor restructur,1,1998
corpor valu,1,1998
manag turnov,1,1998
endogen,1,1998
stochast volatil,2,1998
garch,1,1998
employe ownership,1,1998
labor contract,1,1998
diversif,1,1998
market for corpor control,1,1998
intern financi market,1,1998
proxi contest,1,1998
lbo,1,1998
equiti carve-out,1,1998
volatil,2,1998
merger,2,1998
restructur,2,1998
ownership,1,1998
market effici,4,1998
bid–ask spread,3,1998
nasdaq,3,1998
asset pric,3,1998
market microstructur,3,1998
ownership structur,3,1998
bank,3,1998
risk,2,1998
anomali,2,1998
invest,2,1998
earn manag,2,1998
season equiti off,2,1998
inform,2,1998
incent,2,1998
takeov,2,1998
ipo,2,1998
mont carlo simul,1,1998
insur deposit,1,1998
signal,2,1998
short sal,1,1998
parent-subsidiari merg,1,1998
multivari garch,1,1998
currenc risk,1,1998
intern asset pric,1,1998
optim regul,1,1998
conglomer merg,1,1998
stock-for-stock merg,1,1998
major control,1,1998
indirect penalti,1,1998
common inform,1,1998
underwrit reput,1,1998
capit alloc,1,1998
financi institut,1,1998
risk manag,1,1998
bayesian inf,1,1998
director,1,1998
sec investig,1,1998
minor sharehold,1,1998
bond valuat,1,1998
inform arriv spe,1,1998
dealer trad,1,1998
nyse specialist,1,1998
invest opt,1,1998
portfolio effici,1,1998
sequenti financ,1,1998
convert bond,1,1998
risk factor,1,1998
underwrit,1,1998
institut,1,1998
monitor,1,1998
industri structur,1,1998
post-acquisit perform,1,1998
new,1,1998
long-horizon event studi,1,1998
small busi,1,1998
option pric,1,1998
market mak,1,1998
list,1,1999
stock market failur,1,1999
market structur,1,1999
brazil,1,1999
control activ,1,1999
proxi contest,1,1999
coven,1,1999
pension fund,1,1999
taxat,1,1999
odd-eighth quot,1,1999
institut,1,1999
competit,1,1999
secur pric,1,1999
regul,1,1999
airlin,1,1999
debt structur,1,1999
amex,1,1999
emerg market,1,1999
sharehold activ,1,1999
effect spread,1,1999
mutual fund flow,1,1999
yield spread,1,1999
numer valuat techniqu,1,1999
board of director,1,1999
bank cross-monitor,1,1999
public debt pric,1,1999
debt reput,1,1999
bond ipo,1,1999
board-of-director,1,1999
stock opt,1,1999
misspecif,1,1999
ipo underpr,1,1999
manipul,1,1999
auction,1,1999
residu right,1,1999
japanes corpor financ,1,1999
agenc cost,1,1999
bond financ,1,1999
adapt mesh,1,1999
option valuat,1,1999
lattic model,1,1999
barrier opt,1,1999
mutual fund perform,1,1999
board meet frequenc,1,1999
spread,1,1999
index fund,1,1999
predict return,1,1999
depositari receipt,1,1999
fix price tender off,1,1999
valuat,1,1999
compar firm,1,1999
invest newslett,1,1999
stock select,1,1999
perform measur,1,1999
repurcha,1,1999
dutch auct,1,1999
elast,1,1999
segment,1,1999
quasi-maximum likelihood estim,1,1999
yield,1,1999
foreign investor,1,1999
posit feedback trad,1,1999
herd,1,1999
east asian crisi,1,1999
oper perform,1,1999
capit barri,1,1999
asset pric,1,1999
peck order theori,1,1999
static tradeoff theori,1,1999
small-cap stock,1,1999
polit of financ,1,1999
market regul,1,1999
asset sal,1,1999
nyse,1,1999
book-to-market,1,1999
time-vari risk,1,1999
mispric,1,1999
discount,1,1999
mutual fund design,1,1999
manageri perform,1,1999
career concern,1,1999
board serv,1,1999
stochast discount factor model,1,1999
general method of mo,1,1999
nonidentifi,1,1999
useless factor,1,1999
invest manag,1,1999
condit perform evalu,1,1999
financ,1,1999
horizon problem,1,1999
long-run perform,1,1999
commerci bank,2,1999
focus,1,1999
debt financ,1,1999
advers select,1,1999
debt matur,1,1999
manageri ownership,1,1999
financi institut,1,1999
legal system,1,1999
intern equ,1,1999
anomali,1,1999
spin-off,1,1999
board composit,1,1999
stockholder–bondhold conflict,1,1999
underinvest,1,1999
inform asymmetri,1,1999
merger,1,1999
underperform,1,1999
long-term return,1,1999
risk-tak inc,1,1999
convex contract,1,1999
invest opportun,1,1999
monitor,1,1999
share repurcha,1,1999
market tim,2,1999
privat,2,1999
financi perform,1,1999
corpor govern,6,1999
capit structur,5,1999
nasdaq,3,1999
initi public off,3,1999
divestitur,3,1999
dividend,2,1999
contract,2,1999
ceo compen,2,1999
transact cost,2,1999
bankruptci,2,1999
closed-end fund,2,1999
mutual fund,2,1999
execut compen,2,1999
ownership structur,2,1999
incent,2,1999
glass–steag,2,1999
certif,2,1999
underwrit,2,1999
bid–ask spread,2,1999
cost of equiti capit,1,1999
moral hazard,1,1999
carveout,1,1999
excess return,1,1999
secur issu,1,1999
competit bid,1,1999
regress,1,1999
bia,1,1999
bayesian analysi,1,1999
estim risk,1,1999
odd-eighth avoid,1,1999
soe bandit,1,1999
tick siz,1,1999
capit gain tax,1,1999
portfolio cho,1,1999
return predict,1,1999
util cost,1,1999
limit ord,1,1999
contagion,1,1999
commerci bank regul,1,1999
contest,1,1999
relat perform evalu,1,1999
too big to fail,1,1999
spinoff,1,1999
genet algorithm,1,1999
asset alloc,1,1999
debt off,1,1999
season equiti off,1,1999
rever,1,1999
ventur capit,1,1999
privat equ,1,1999
limit partnership,1,1999
monte-carlo simul,1,1999
acquisit,1,1999
institut investor,1,1999
asset substitut,1,1999
specialist,1,1999
allianc,1,1999
trade rul,1,1999
persist,1,1999
small busi,1,1999
survivorship bia,1,1999
cost of debt financ,1,1999
attrit,1,1999
invest,1,1999
cash flow volatil,1,1999
cost of equiti financ,1,1999
monopoli,1,2000
inform cascad,1,2000
analyst,1,2000
ceo compen,1,2000
protect,1,2000
foreign exchang,1,2000
manageri inc,1,2000
agent base model,1,2000
comput industri,1,2000
state ownership,1,2000
deriv,1,2000
delta hedg,1,2000
continuous-tim model,1,2000
market effici,1,2000
risk factor,1,2000
expect hypothesi,1,2000
interest r,1,2000
capit alloc,1,2000
imit,1,2000
microsoft,1,2000
herd,1,2000
asset price model,1,2000
investor protect,1,2000
junk bond,1,2000
soe,1,2000
corpor financ,1,2000
univers bank,1,2000
execut,1,2000
option,1,2000
corpor control,1,2000
financi effect of regul,1,2000
order imb,1,2000
financi crisi,1,2000
investor,1,2000
capit account lib,1,2000
capit flow,1,2000
asset pric,1,2000
inform and market effici,1,2000
intern financi market,1,2000
financi econom,1,2000
factor risk,1,2000
season public off,1,2000
equiti issu,1,2000
law,1,2000
rule 144a,1,2000
gdp growth,1,2000
capit structur,1,2000
special dividend,1,2000
state price dens,1,2000
stochast volatil model,1,2000
filter,1,2000
401(k) plan,1,2000
pension plan,1,2000
rollov,1,2000
control stockhold,1,2000
famili control,1,2000
span,1,2000
characterist funct,1,2000
state-pric dens,1,2000
price of conting claim,1,2000
arrow–debreu secur,1,2000
mortgag deriv,1,2000
market mak,1,2000
price discrimin,1,2000
dividend polici,1,2000
invest constraint,1,2000
effici method of mo,1,2000
signal,1,2000
capit accumul,1,2000
number of trad,1,2000
peck order theori,1,2000
contract renegoti,1,2000
deriv secur,1,2000
size of trad,1,2000
product growth,1,2000
save,1,2000
regul,1,2000
corpor polici,1,2000
convex,1,2000
privat plac,1,2000
interest rate swap,1,2000
forward rate agr,1,2000
term structur model,1,2000
price impact,1,2000
antitrust,1,2000
analyst reput,1,2000
mispric,1,2000
withdraw,1,2000
compen,1,2000
volume–volatil relat,1,2000
interest rate futur,1,2000
collus,1,2000
financi develop,1,2000
acquisit,1,2000
institut activ,2,2000
anomali,2,2000
diversif,1,2000
track stock,1,2000
one-share–on vot,1,2000
control coalit,1,2000
control dilut,1,2000
ventur capit,1,2000
corpor focus,1,2000
close held corpor,1,2000
liquid provi,1,2000
depth,1,2000
tick siz,1,2000
corpor structur,1,2000
rival,1,2000
intern stock return,1,2000
irrevers invest,1,2000
perform,1,2000
proxi contest,1,2000
invest,2,2000
econom growth,2,2000
new issu puzzl,2,2000
limit ord,2,2000
execut stock opt,4,2000
payout polici,4,2000
merger,3,2000
ownership structur,3,2000
corpor govern,3,2000
repric,3,2000
option valuat,3,2000
execut compen,3,2000
stock repurcha,3,2000
co-mov,1,2000
liquid,3,2000
financ,2,2000
initi public off,2,2000
incent,2,2000
restructur,2,2000
long-run perform,2,2000
emerg market,2,2000
event studi,2,2000
insid trad,2,2000
tender off,2,2000
momentum,2,2000
investor behavior,1,2000
microstructur,2,2000
size,1,2000
flotat method,1,2000
market integr,1,2000
payout cho,1,2000
right off,1,2000
treasuri strip,1,2000
place,1,2000
ownership concentr,1,2000
treasuri bond,1,2000
buy-back,1,2000
reconstitut,1,2000
takeov,1,2000
manag turnov,1,2000
portfolio select,1,2000
index opt,1,2000
mutual fund,1,2000
load,1,2000
fund perform,1,2000
fund return,1,2000
trade cost,1,2000
equiti issuanc,1,2000
east asian corpor,1,2000
season equiti off,1,2000
ownership,1,2000
invest bank market shar,1,2000
control,1,2000
incent fee structur,1,2000
pay–perform relationship,1,2000
market microstructur,1,2000
experiment econom,1,2000
book-to-market,1,2000
dividend,1,2000
auction,1,2000
bankruptci cost,1,2000
debt recoveri,1,2000
stock market competit,1,2000
prepack,1,2000
reset,1,2000
strip,1,2000
time to build,1,2000
dividend sign,1,2000
valuat,1,2000
sharehold vot,1,2000
chapter 11,1,2000
bayesian analysi,1,2000
target stock,1,2001
warrant,1,2001
wealth effect,1,2001
market portfolio,1,2001
converg trad,1,2001
investor protect,1,2001
repric,1,2001
bookbuild,1,2001
price discoveri,1,2001
save and loan,1,2001
litig,1,2001
fundament analysi,1,2001
acquisit,1,2001
corpor financ,1,2001
option valuat,1,2001
lockup opt,1,2001
law,1,2001
takeov,1,2001
bidder discrimin,1,2001
short-sel,1,2001
home bia,1,2001
trade strategi,1,2001
goodwil,1,2001
individu investor,1,2001
peck order theori,1,2001
reput,1,2001
anomali,1,2001
asset alloc,1,2001
inform product,1,2001
repurcha,1,2001
credit spread,1,2001
intern invest,1,2001
asset liquid,1,2001
model calibr,1,2001
volatil amplif,1,2001
destabil specul,1,2001
ltcm crisi,1,2001
ceo compen,1,2001
regul,1,2001
contract,1,2001
credit enhanc,1,2001
gold-link,1,2001
hybrid secur,1,2001
minimum tick,1,2001
decim,1,2001
implement cost,1,2001
transact cost,1,2001
underwrit serv,1,2001
sell-sid research,1,2001
all-star analyst,1,2001
manageri ownership,1,2001
boston celt,1,2001
common factor,1,2001
payout polici,1,2001
poison put,1,2001
liquid trigg,1,2001
bankruptci cost,1,2001
multilater negoti,1,2001
go publ,1,2001
underwrit compen,1,2001
underwrit spread,1,2001
offer pric,1,2001
net proc,1,2001
credit risk protect,1,2001
stock repurcha,1,2001
new list,1,2001
inform effect,1,2001
investor expect,1,2001
volatil,1,2001
perform evalu,1,2001
bet market,1,2001
capit gain taxat,1,2001
lock-in effect,1,2001
return rev,1,2001
survey,1,2001
analyst,1,2001
herd,1,2001
lead analyst,1,2001
multi-factor libor market model,1,2001
equiti financ,1,2001
exercis pric,1,2001
manageri flexibl,1,2001
buyout specialist,1,2001
hansen-jagannathan distanc,1,2001
time-vari risk pric,1,2001
portfolio cho,1,2001
return predict,1,2001
multipl riski asset,1,2001
hedg demand,1,2001
reinsur,1,2001
catastroph,1,2001
leverag buyout,1,2001
activ investor,1,2001
forecast revi,1,2001
financi distress,1,2001
debt structur,1,2001
option to withdraw,1,2001
investor behavior,1,2001
portfolio invest,1,2001
portfolio flow,1,2001
bermudan swapt,1,2001
multi-factor gaussian model,1,2001
equiti,1,2001
market tim,1,2001
portfolio manag,1,2001
execut stock opt,1,2001
internet,1,2001
durat analysi,1,2001
market effici,1,2001
stealth-trad,1,2001
intern corpor financ,1,2001
individu,1,2001
hazard model,1,2001
bank relationship,1,2001
institut,1,2001
term structur,1,2001
bank merg,1,2001
currenc exposur,1,2001
secur debt,1,2001
callabl bond,1,2001
tender off,1,2001
subgam perfect equilibria,1,2001
stac,1,2001
refund,1,2001
pay-for-perform,1,2001
heterogen,1,2001
save & loan,1,2001
irrev,1,2001
leverag effect,1,2001
merger and acquisit,1,2001
corpor risk manag,1,2001
hedg,1,2001
risk manag,5,2001
corpor govern,4,2001
merger,4,2001
stock inc,1,2001
initi public off,2,2001
stock opt,2,2001
microstructur,2,2001
asset pric,2,2001
dividend,2,2001
price impact,2,2001
underpr,2,2001
invest,2,2001
general equilibrium,2,2001
execut compen,2,2001
compen,2,2001
mutual fund,2,2001
capit structur,2,2001
bank,2,2001
invest bank,2,2001
capit budget,2,2001
secur design,2,2001
ipo,1,2001
deriv secur,1,2001
book-to-market,1,2001
exchang rate exposur,1,2001
liquid,3,2001
factor analysi,1,2001
proxi vot,1,2001
institut trad,1,2001
cost of capit,1,2001
cost of equ,1,2001
discount r,1,2001
project valuat,1,2001
board of director,1,2001
stock exchang of hong kong,1,2001
invest polici,1,2001
time abil,1,2001
incent,1,2001
crash,1,2001
integr volatil,1,2001
correl,1,2001
equiti market,1,2001
high-frequ data,1,2001
long memori,1,2001
compens and inc,1,2001
financ,1,2001
employ,1,2001
share repurcha,1,2001
princip compon,1,2001
trade volum,1,2001
intern capit market,1,2001
non-execut,1,2001
leverag,1,2001
recapit,1,2001
manag turnov,1,2001
market react,1,2001
american opt,1,2001
exercis strategi,1,2001
moral hazard,1,2001
model misspecif,1,2001
asymmetr inform,1,2001
skew,1,2001
mechan design,1,2001
bank and commerc,1,2001
arbitrag price theori,1,2001
lender liabil,1,2001
option pric,1,2001
conflict of interest,1,2001
complet market,1,2001
uniqu martingal measur,1,2001
state price dens,1,2001
heteroskedast,1,2001
price kernel,1,2001
expect hypothesi,1,2001
term premium,1,2001
forecast,1,2001
affin model,1,2001
liquid cris,1,2002
financi cris,1,2002
disclosur,1,2002
disper,1,2002
correl,1,2002
stock return asymmetri,1,2002
acquisit,1,2002
debt coven,1,2002
financi distress,1,2002
expected-return new,1,2002
expect return,1,2002
investor heterogen,1,2002
specialist,1,2002
market qu,1,2002
post-earnings-announc drift,1,2002
trade cost,1,2002
financi develop,1,2002
financi structur,1,2002
aggreg liquid,1,2002
econom growth,1,2002
bank lend,1,2002
merger,1,2002
regime-switch,1,2002
short sal,1,2002
market ineffici,1,2002
daili fund flow,1,2002
nyse specialist,1,2002
adr,1,2002
advers select,1,2002
implied-st general method of mo,1,2002
share repurcha,1,2002
stochast volatil,1,2002
time-vari risk premium,1,2002
model bia,1,2002
garch,1,2002
jump model,1,2002
currenc depreci,1,2002
debt overhang,1,2002
emerg market,1,2002
effici invest polici,1,2002
excess risk tak,1,2002
diversifi firm,1,2002
intern capit market,1,2002
bayesian analysi,1,2002
hedg fund,1,2002
cp-bill spread,1,2002
regim shift,1,2002
mispric,1,2002
underreact,1,2002
structur break test,1,2002
market price of risk,1,2002
transpar,1,2002
focus,1,2002
asymmetr inform,1,2002
corpor structur,1,2002
inform,1,2002
strateg behavior,1,2002
market lib,1,2002
portfolio flow,1,2002
treasuri auct,1,2002
endogen break test,1,2002
market reform,1,2002
market integr,1,2002
liquid risk,1,2002
treasuri bond,1,2002
repo contract,1,2002
special repo r,1,2002
expect hypothesi,1,2002
merger arbitrag,1,2002
flow,1,2002
ventur capit,1,2002
investor senti,1,2002
strateg invest,1,2002
equiti off,1,2002
expect puzzl,1,2002
predict,1,2002
